keywords
記者
腦
問
素質
紅媒
中時
媒體
東森
做功課
中天
時報
聯合
TVBS
浪費時間
下課
休息
蠢
重複
滾
中夭
垃圾
中屎
報社
兇
態度
上課
下課
禮貌
專業
名字
家教
閉嘴
魏怡嘉
聯合報
中視
旺中
旺旺
汪汪
口氣
沒在聽
挑撥
對立
自由
哪家
智商
統媒
報導
妓者
新聞
邏輯
